Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
168,7.28153e-57,0.131307,5000,0.999939,7.00275,0.999939,0,0.00469971,0.00469971
169,8.06035e-57,0.131234,5000,1,7.00305,1,0,0.00476074,0.00476074
170,8.88953e-57,0.131161,5000,0.999939,7.00183,0.999939,0,0.0045166,0.0045166
171,9.7367e-57,0.131089,5000,0.999939,7.00189,0.999939,0,0.00476074,0.00476074
172,1.06386e-56,0.13101,5000,1,7.00146,1,0,0.00537109,0.00537109
173,1.15845e-56,0.130931,5000,0.999878,7.00043,0.999878,0,0.00494385,0.00494385
174,1.25736e-56,0.130846,5000,1,7,1,0,0.00469971,0.00469971
175,1.3598e-56,0.130762,5000,0.999939,7.00006,0.999939,0,0.00579834,0.00579834
176,1.46819e-56,0.130672,5000,1,6.99872,1,0,0.00524902,0.00524902
177,1.57802e-56,0.130582,5000,1,6.99835,1,0,0.0043335,0.0043335
178,1.68743e-56,0.130494,5000,0.999939,6.9978,0.999939,0,0.00543213,0.00543213
179,1.81235e-56,0.130399,5000,0.999817,6.99829,0.999817,0,0.00439453,0.00439453
180,1.93643e-56,0.130297,5000,1,6.99841,1,0,0.00512695,0.00512695
181,2.06348e-56,0.130199,5000,1,6.99762,0.999939,6.10352e-05,0.00549316,0.00549316
182,2.19561e-56,0.130096,5000,1,6.99615,1,0,0.00421143,0.00421143
183,2.33246e-56,0.129991,5000,0.999939,6.99707,0.999939,0,0.00518799,0.00518799
184,2.47394e-56,0.129884,5000,0.999878,6.99701,0.999878,0,0.00537109,0.00537109
185,2.96545e-56,0.129773,5000,0.999878,6.99622,0.999878,0,0.00500488,0.00500488
186,5.88349e-56,0.129655,5000,0.999878,6.99725,0.999878,0,0.00457764,0.00457764
187,1.15801e-55,0.129528,5000,1,6.99719,1,0,0.00579834,0.00579834
188,2.04032e-55,0.129393,5000,0.999939,6.99744,0.999939,0,0.00457764,0.00457764
189,3.44245e-55,0.129247,5000,0.999939,6.9975,0.999939,0,0.0057373,0.0057373
190,5.40081e-55,0.129082,5000,1,6.99683,1,0,0.00683594,0.00683594
191,7.91755e-55,0.128913,5000,1,6.99701,1,0,0.00445557,0.00445557
192,1.0996e-54,0.128736,5000,1,6.99731,1,0,0.00482178,0.00482178
193,1.46011e-54,0.128547,5000,0.999939,6.99609,0.999939,0,0.00537109,0.00537109
194,1.88025e-54,0.128345,5000,0.999939,6.99707,0.999939,0,0.00549316,0.00549316
195,2.36024e-54,0.128148,5000,0.999939,6.99585,0.999939,0,0.00469971,0.00469971
196,2.89207e-54,0.127953,5000,0.999817,6.99603,0.999817,0,0.00457764,0.00457764
197,3.48087e-54,0.127739,5000,1,6.99652,1,0,0.00549316,0.00549316
198,4.12632e-54,0.127534,5000,1,6.99652,1,0,0.00427246,0.00427246
199,4.85816e-54,0.127326,5000,0.999939,6.99713,0.999939,6.10352e-05,0.00512695,0.00512695
200,5.67051e-54,0.12711,5000,0.999939,6.99731,0.999939,0,0.00482178,0.00482178
201,6.56686e-54,0.126887,5000,0.999939,6.99878,0.999939,0,0.00567627,0.00567627
202,7.53687e-54,0.12666,5000,0.999939,6.99976,0.999939,0,0.00439453,0.00439453
203,8.5899e-54,0.126424,5000,1,7.00031,1,0,0.00500488,0.00500488
204,9.74551e-54,0.126183,5000,1,6.99994,1,0,0.0043335,0.0043335
205,1.09082e-53,0.125946,5000,1,7.00031,1,0,0.00531006,0.00531006
206,1.21159e-53,0.12571,5000,1,7,1,0,0.00579834,0.00579834
207,1.33645e-53,0.125484,5000,1,7.00024,1,0,0.00512695,0.00512695
208,1.46214e-53,0.125271,5000,0.999878,7.00037,0.999878,0,0.00592041,0.00592041
209,1.59179e-53,0.125061,5000,1,7.00043,1,0,0.00622559,0.00622559
210,1.726e-53,0.124853,5000,1,6.99982,1,0,0.00482178,0.00482178
211,1.86242e-53,0.124653,5000,0.999939,6.99969,0.999939,0,0.00354004,0.00354004
212,1.99939e-53,0.124448,5000,0.999939,6.99963,0.999939,0,0.00543213,0.00543213
213,2.14075e-53,0.124246,5000,0.999939,6.99951,0.999939,0,0.00531006,0.00531006
214,2.28423e-53,0.124044,5000,0.999939,6.99988,0.999878,6.10352e-05,0.00463867,0.00463867
215,2.43043e-53,0.123841,5000,0.999939,7.00049,0.999939,0,0.0045166,0.0045166
216,2.57879e-53,0.123644,5000,1,7.00073,1,0,0.00506592,0.00506592
217,2.73182e-53,0.123462,5000,0.999878,7.00134,0.999817,6.10352e-05,0.00592041,0.00592041
218,2.88591e-53,0.123275,5000,0.999939,7.0014,0.999939,0,0.0055542,0.0055542
219,3.04269e-53,0.123089,5000,0.999939,7.00092,0.999939,0,0.00518799,0.00518799
220,3.20342e-53,0.122897,5000,0.999939,7.00098,0.999939,0,0.00598145,0.00598145
221,3.36814e-53,0.122702,5000,1,7.00104,1,0,0.00616455,0.00616455
222,3.52678e-53,0.122514,5000,0.999878,7.00153,0.999878,0,0.00463867,0.00463867
223,3.68395e-53,0.122326,5000,0.999939,7.00134,0.999939,0,0.00421143,0.00421143
224,3.84332e-53,0.122141,5000,1,7.00189,0.999939,6.10352e-05,0.00506592,0.00506592
225,4.42122e-53,0.121981,5000,0.999939,7.0022,0.999939,0,0.00543213,0.00543213
226,8.0503e-53,0.12184,5000,1,7.00269,0.999939,6.10352e-05,0.00463867,0.00463867
227,1.51803e-52,0.121695,5000,1,7.00183,1,0,0.00445557,0.00445557
228,2.58105e-52,0.121551,5000,1,7.00232,1,0,0.00543213,0.00543213
229,3.99448e-52,0.121406,5000,1,7.00366,1,0,0.00518799,0.00518799
230,5.75822e-52,0.121257,5000,0.999939,7.00488,0.999939,0,0.00402832,0.00402832
231,7.87204e-52,0.121106,5000,1,7.00439,1,0,0.00537109,0.00537109
232,1.03359e-51,0.120965,5000,1,7.00604,1,0,0.00524902,0.00524902
233,1.31497e-51,0.120827,5000,0.999939,7.00653,0.999939,0,0.00537109,0.00537109
234,1.63138e-51,0.12069,5000,1,7.00635,1,0,0.00500488,0.00500488
235,1.98281e-51,0.120558,5000,0.999939,7.00739,0.999939,0,0.00506592,0.00506592
236,2.36881e-51,0.120454,5000,0.999939,7.00806,0.999939,0,0.00543213,0.00543213
