Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
270,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
271,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
272,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
273,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
274,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
275,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
276,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
277,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
278,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
279,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
280,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
281,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
282,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
283,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
284,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
285,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
286,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
287,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
288,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
289,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
290,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
291,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
292,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
293,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
294,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
295,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
296,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
297,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
298,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
299,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
300,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
301,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
302,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
303,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
304,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
305,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
306,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
307,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
308,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
309,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
310,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
311,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
312,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
313,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
314,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
315,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
316,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
317,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
318,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
319,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
320,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
321,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
322,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
323,8.46285e-44,0.0991781,5000,1,7,1,0,1,1
324,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
325,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
326,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
327,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
328,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
329,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
330,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
331,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
332,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
333,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
334,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
335,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
336,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
337,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
338,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
339,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
340,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
341,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
342,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
343,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
344,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
345,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
346,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
347,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
348,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
349,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
350,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
351,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
352,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
353,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
354,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
355,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
356,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
357,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
358,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
359,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
360,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
361,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
362,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
363,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
364,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
365,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
366,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
367,8.46285e-44,0.0991781,5000,1,7,1,0,1,1
368,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
369,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
370,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
371,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
372,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
373,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
374,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
375,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
376,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
377,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
378,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
379,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
380,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
381,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
382,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
383,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
384,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
385,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
386,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
387,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
388,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
389,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
390,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
391,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
392,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
393,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
394,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
395,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
396,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
397,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
398,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
399,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
400,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
401,8.46285e-44,0.0991781,5000,1,7,1,0,1,1
402,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
403,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
404,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
405,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
406,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
407,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
408,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
409,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
410,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
411,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
412,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
413,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
