Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
861,8.74551e-05,0.0167016,5000,6.84192,11.4207,7.72101,0.0928345,4.96661,4.96661
862,8.77434e-05,0.0168787,5000,6.84735,11.4407,7.7287,0.0932617,4.97675,4.97675
863,8.81157e-05,0.0167357,5000,6.84515,11.4404,7.72998,0.0889893,5.00751,5.00751
864,8.87413e-05,0.0168885,5000,6.84442,11.4421,7.72314,0.0905151,4.98578,4.98578
865,8.90453e-05,0.0169102,5000,6.84772,11.3782,7.72723,0.0916138,4.95453,4.95453
866,8.87996e-05,0.0169673,5000,6.85541,11.3586,7.73102,0.0933838,5.0094,5.0094
867,8.95046e-05,0.0168038,5000,6.85626,11.3818,7.73328,0.0896606,5.01141,5.01141
868,8.91792e-05,0.0168025,5000,6.84943,11.3915,7.72748,0.0874023,5.0058,5.0058
869,9.00411e-05,0.0166785,5000,6.85181,11.4004,7.7301,0.086853,5.03485,5.03485
870,8.98886e-05,0.0166825,5000,6.84528,11.3783,7.72607,0.0861206,5.03235,5.03235
871,9.07608e-05,0.0167655,5000,6.85022,11.3721,7.72913,0.0853271,4.97363,4.97363
872,9.03972e-05,0.0169003,5000,6.84918,11.3647,7.73163,0.0831909,4.97186,4.97186
873,9.14804e-05,0.0167444,5000,6.84692,11.3649,7.73016,0.0789185,4.96442,4.96442
874,8.99971e-05,0.0169783,5000,6.84436,11.3739,7.72949,0.0750732,5.02313,5.02313
875,9.11796e-05,0.0166339,5000,6.8432,11.3445,7.73364,0.0714722,5.00452,5.00452
876,9.2623e-05,0.0166842,5000,6.84271,11.3313,7.73242,0.071228,4.96759,4.96759
877,9.02726e-05,0.0169406,5000,6.83533,11.3578,7.7251,0.0726318,4.99963,4.99963
878,9.15096e-05,0.0167992,5000,6.83374,11.3507,7.71796,0.0759277,5.01056,5.01056
879,9.12468e-05,0.0168661,5000,6.82501,11.3593,7.71564,0.0736694,5.0191,5.0191
880,9.21021e-05,0.016722,5000,6.83826,11.3762,7.72089,0.0791626,5.02856,5.02856
881,9.21394e-05,0.0169351,5000,6.83722,11.3641,7.7243,0.076355,4.98077,4.98077
882,9.19045e-05,0.0168548,5000,6.8385,11.3759,7.71814,0.0794067,4.98779,4.98779
883,9.15141e-05,0.017001,5000,6.83215,11.3537,7.71985,0.0770264,5.03278,5.03278
884,9.26136e-05,0.0168006,5000,6.83832,11.3687,7.73389,0.0708008,5.0105,5.0105
885,9.36846e-05,0.0166898,5000,6.83917,11.3544,7.73315,0.0718994,4.99072,4.99072
886,9.30344e-05,0.0168182,5000,6.83844,11.4118,7.73151,0.0718994,4.99927,4.99927
887,9.31804e-05,0.016957,5000,6.83978,11.4019,7.73419,0.071167,5.01495,5.01495
888,9.44473e-05,0.0166628,5000,6.84552,11.3706,7.7356,0.0751343,5.01666,5.01666
889,9.4331e-05,0.0166784,5000,6.85022,11.3881,7.74146,0.0734253,4.96747,4.96747
890,9.35997e-05,0.016781,5000,6.84247,11.3817,7.72968,0.0750732,4.98535,4.98535
891,9.44362e-05,0.0168437,5000,6.84247,11.3733,7.73175,0.0718994,5.00964,5.00964
892,9.53177e-05,0.0166879,5000,6.84534,11.3607,7.73816,0.0710449,5.00745,5.00745
