Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
230,1.40207e-41,0.0941814,5000,0.99939,7.0047,0.99939,0,0.0508423,0.0508423
231,1.40971e-41,0.0941311,5000,0.999817,7.00305,0.999817,0,0.0480347,0.0480347
232,1.41571e-41,0.0941199,5000,0.999512,7.00653,0.999512,0,0.0490112,0.0490112
233,1.4196e-41,0.0941142,5000,0.999573,7.00775,0.999512,6.10352e-05,0.0481567,0.0481567
234,1.4224e-41,0.0940989,5000,0.999634,7.0083,0.999573,6.10352e-05,0.050293,0.050293
235,1.42453e-41,0.094087,5000,0.999512,7.0094,0.999512,0,0.0482788,0.0482788
236,1.42524e-41,0.094083,5000,0.999634,7.01141,0.999512,0.00012207,0.0465698,0.0465698
237,1.42468e-41,0.0941003,5000,0.999451,7.01508,0.999451,0,0.0510254,0.0510254
238,1.4252e-41,0.0940819,5000,0.999573,7.01794,0.999634,0,0.0507202,0.0507202
239,1.42457e-41,0.0941047,5000,0.999268,7.0199,0.999268,0,0.0490723,0.0490723
240,1.42493e-41,0.0940889,5000,0.999512,7.01575,0.999512,0,0.0501099,0.0501099
241,1.42431e-41,0.0941086,5000,0.999268,7.01508,0.999268,0,0.050293,0.050293
242,1.42539e-41,0.0940831,5000,0.999512,7.013,0.999512,0,0.0469971,0.0469971
243,1.42459e-41,0.0941058,5000,0.999451,7.01477,0.99939,0.00012207,0.0516357,0.0516357
244,1.42543e-41,0.0940831,5000,0.999634,7.01355,0.999512,0.00012207,0.0497437,0.0497437
245,1.42536e-41,0.0940784,5000,0.999634,7.01764,0.999634,0,0.0501709,0.0501709
246,1.42485e-41,0.0940939,5000,0.999451,7.01703,0.99939,6.10352e-05,0.0487671,0.0487671
247,1.42463e-41,0.0941063,5000,0.999451,7.01862,0.99939,0.00012207,0.0478516,0.0478516
248,1.42496e-41,0.0940847,5000,0.999634,7.01581,0.999573,0.00012207,0.0523071,0.0523071
249,1.42457e-41,0.0941046,5000,0.999268,7.01807,0.999268,6.10352e-05,0.0487671,0.0487671
250,1.42487e-41,0.0940925,5000,0.999451,7.02045,0.999451,0,0.0512085,0.0512085
251,1.42494e-41,0.0940839,5000,0.999634,7.02301,0.999573,6.10352e-05,0.0489502,0.0489502
252,1.42515e-41,0.0940775,5000,0.999695,7.02374,0.999756,0,0.0505371,0.0505371
253,1.42478e-41,0.0940904,5000,0.999573,7.02332,0.999634,0,0.0474243,0.0474243
254,1.42503e-41,0.094081,5000,0.999695,7.0202,0.999695,0,0.0499878,0.0499878
255,1.4253e-41,0.0940747,5000,0.999695,7.02411,0.999695,0,0.0500488,0.0500488
256,1.42548e-41,0.0940715,5000,0.999756,7.02252,0.999756,0,0.0483398,0.0483398
257,1.42477e-41,0.094096,5000,0.999451,7.01752,0.999451,6.10352e-05,0.0522461,0.0522461
258,1.4252e-41,0.0940764,5000,0.999695,7.01978,0.999756,0,0.0527344,0.0527344
259,1.42496e-41,0.0940904,5000,0.999512,7.01813,0.999573,0,0.0483398,0.0483398
260,1.42463e-41,0.0940958,5000,0.999573,7.01398,0.999573,0,0.0525513,0.0525513
261,1.42496e-41,0.0940896,5000,0.999573,7.01648,0.999573,0,0.0501709,0.0501709
262,1.42487e-41,0.0941047,5000,0.999268,7.01923,0.999146,0.00012207,0.0485229,0.0485229
263,1.42529e-41,0.0940769,5000,0.999756,7.01685,0.999756,0,0.048584,0.048584
264,1.42455e-41,0.0941043,5000,0.999329,7.01556,0.999268,6.10352e-05,0.0540161,0.0540161
265,1.4252e-41,0.0940763,5000,0.999756,7.01337,0.999756,0,0.0485229,0.0485229
266,1.42546e-41,0.0940772,5000,0.999756,7.01288,0.999695,6.10352e-05,0.0514526,0.0514526
267,1.42521e-41,0.0940858,5000,0.999695,7.02026,0.999695,0.00012207,0.0542603,0.0542603
268,1.42482e-41,0.0940918,5000,0.999451,7.02051,0.999451,0,0.0505371,0.0505371
269,1.42465e-41,0.0941017,5000,0.999329,7.01617,0.999268,6.10352e-05,0.0491333,0.0491333
270,1.42422e-41,0.0941055,5000,0.999512,7.01617,0.999573,0,0.0497437,0.0497437
271,1.42439e-41,0.0941056,5000,0.999512,7.01019,0.999573,6.10352e-05,0.0496216,0.0496216
272,1.42456e-41,0.0940964,5000,0.99939,7.01056,0.999451,0,0.0508423,0.0508423
273,1.42465e-41,0.0940977,5000,0.99939,7.0163,0.99939,0,0.0527344,0.0527344
274,1.42504e-41,0.0940872,5000,0.999573,7.01709,0.999512,6.10352e-05,0.0515747,0.0515747
275,1.42489e-41,0.0940815,5000,0.999695,7.02075,0.999756,0,0.050293,0.050293
